id,title,description,price,url,avg_review,image,company,tags,category,github_link,require_license,updated_at,created_at
1645,Magento Odoo Bundle Group Product Sync,Magento Odoo Bundle Group Product Sync : Inspired by a huge demand of our Mage...,125.00,https://store.webkul.com/Magento-Odoo-Bundle-Group-Product-Sync.html,null,https://store.webkul.com/media/catalog/product/cache/1/small_image/9df78eab33525d08d6e5fb8d27136e95/i/c/icon_2.png,Webkul,"","","",0,2020-05-02 21:07:16,2020-05-02 21:07:16
1646,Product Questions Answers for Magento 2,"Product Questions Answers for Magento 2: With the help of this module, the cus...",45.00,https://store.webkul.com/Product-Questions-Answers-Magento2.html,null,https://store.webkul.com/media/catalog/product/cache/1/small_image/9df78eab33525d08d6e5fb8d27136e95/p/r/product-question-answer.png,Webkul,"","","",0,2020-05-02 21:07:16,2020-05-02 21:07:16
1647,Marketplace Hyperlocal System For Magento 2,Marketplace Hyperlocal System For Magento 2 : Magento 2 Marketplace Hyperlocal...,199.00,https://store.webkul.com/magento2-marketplace-hyperlocal-extension.html,3 Review(s),https://store.webkul.com/media/catalog/product/cache/1/small_image/9df78eab33525d08d6e5fb8d27136e95/m/a/marketplace-hyperlocal-system_1.png,Webkul,"","","",0,2020-05-02 21:07:16,2020-05-02 21:07:16
1648,Product Table Attribute for Magento 2,Product Table Attribute for Magento 2:Â This module helps the admin to cre...,99.00,https://store.webkul.com/magento2-product-table-attributes.html,null,https://store.webkul.com/media/catalog/product/cache/1/small_image/9df78eab33525d08d6e5fb8d27136e95/p/r/product-table-attribute.png,Webkul,"","","",0,2020-05-02 21:07:16,2020-05-02 21:07:16
1649,Facebook Wall Post for Magento 2,Facebook Wall Post for Magento 2 : With Facebook Wall Post extension you can i...,39.00,https://store.webkul.com/Facebook-Wall-Post-For-Magento2.html,null,https://store.webkul.com/media/catalog/product/cache/1/small_image/9df78eab33525d08d6e5fb8d27136e95/f/a/facebook-wall-post_1.png,Webkul,"","","",0,2020-05-02 21:07:16,2020-05-02 21:07:16
1650,Endicia Shipping for Magento 2,"Endicia Shipping for Magento 2: Using this extension, the admin can integrate ...",199.00,https://store.webkul.com/magento2-endicia-shipping.html,null,https://store.webkul.com/media/catalog/product/cache/1/small_image/9df78eab33525d08d6e5fb8d27136e95/u/s/usps-endicia-shipping.png,Webkul,"","","",0,2020-05-02 21:07:16,2020-05-02 21:07:16
1651,Reservation Booking QR Code for Magento 2,Reservation Booking QR Code for Magento 2: is a plugin that helps the admin to...,99.00,https://store.webkul.com/magento2-reservation-booking-qr-code.html,null,https://store.webkul.com/media/catalog/product/cache/1/small_image/9df78eab33525d08d6e5fb8d27136e95/a/d/advance-booking-qr-code.png,Webkul,"","","",0,2020-05-02 21:07:16,2020-05-02 21:07:16
1652,Magento 2 Buyer Seller Communication Marketplace Add-on,Marketplace Buyer Seller Communication For Magento 2 : Marketplace Buyer Selle...,129.00,https://store.webkul.com/Marketplace-Buyer-Seller-Communication-For-Magento2.html,1 Review(s),https://store.webkul.com/media/catalog/product/cache/1/small_image/9df78eab33525d08d6e5fb8d27136e95/m/a/marketplace-buyer-seller-communication_2.png,Webkul,"","","",0,2020-05-02 21:07:16,2020-05-02 21:07:16
1653,CRM for Magento 2,Customer Relationship Management for Magento 2: This module is the perfect ans...,199.00,https://store.webkul.com/magento2-crm.html,null,https://store.webkul.com/media/catalog/product/cache/1/small_image/9df78eab33525d08d6e5fb8d27136e95/m/a/magento-2-crm.png,Webkul,"","","",0,2020-05-02 21:07:16,2020-05-02 21:07:16
1654,Payment & Shipping Restriction for Magento 2,Payment & Shipping Restriction for Magento 2: Now specific shipping methods an...,99.00,https://store.webkul.com/magento2-payment-shipping-restriction.html,null,https://store.webkul.com/media/catalog/product/cache/1/small_image/9df78eab33525d08d6e5fb8d27136e95/m/2/m2-payment-shipping-restriction.png,Webkul,"","","",0,2020-05-02 21:07:16,2020-05-02 21:07:16
